LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID476010,476010,6,9.651744843,4.932786263,4.859785778,1.708652554,34.40318441,9,0.1,1,,0.278481013,0,0,1,22,0.451115679,8.784810127,9,5,12,694,1.787928798,0.016492331,0.020031599,0.258585904,2.018989867
ID475972,475972,6,15.45880508,4.925681146,4.832478001,1.6884233,38.22576046,10,0.1,1,,0.417721519,0,0,2,33,0.54555535,12.79746835,13,6,18,1011,2.775255806,0.08039287,0.113949874,0.320444284,2.238120619
ID475965,475965,6,30.885952,4.923356273,4.834809743,1.627536871,42.04833651,11,0.1,1,,1.481012658,1,0,3,117,0.903848743,25.74683544,26,13,37,2034,5.836376542,0.322718922,0.799557813,0.324325326,2.160711229
ID475985,475985,6,17.36642456,5.002082199,4.834316998,1.617582912,45.87091255,12,0.1,1,,0.17721519,0,0,1,14,0.384290678,14.5443038,15,7,20,1149,3.201752198,-0.053432247,-0.052062237,0.308668457,2.142879911
ID475986,475986,11,43.8806839,4.783885961,5.734276864,1.588967418,45.87091255,12,0.1,1,,0.860759494,1,0,3,68,0.746516306,44,44,29,56,3476,7.360671653,0.17404441,0.341859831,0.236244439,2.284664696
ID476019,476019,11,43.94943237,4.792257878,5.72085447,1.587631925,49.6934886,13,0.1,1,,1.734177215,2,1,3,137,0.673849651,41.69620253,41,27,56,3294,7.305344777,0.194492547,0.838069396,0.286664301,2.543279808
ID476028,476028,11,51.75128174,4.815608577,5.761411134,1.579207987,53.51606464,14,0.1,1,,1.025316456,1,0,2,81,0.530473508,41.96202532,41,25,59,3315,8.830952323,0.250992085,0.775585512,0.333696168,2.377788449
ID475996,475996,11,45.08776093,4.798036638,5.703870564,1.595328606,57.33864069,15,0.1,1,,0.607594937,1,0,1,48,0.491406185,37.02531646,36,21,52,2925,7.568447803,0.509895583,0.835098798,0.323835578,2.393384458
ID476036,476036,11,39.97370911,4.774164718,5.757313709,1.556407555,61.16121674,16,0.1,1,,1.303797468,1,0,4,103,1.078394229,34.91139241,36,19,47,2758,6.548027445,0.224914524,0.443991126,0.294806131,2.427830923
ID476047,476047,11,21.38882065,4.789190984,5.625964827,1.53227943,64.98379278,17,0.1,1,,0.012658228,0,0,1,1,0.11250879,19.44303797,20,11,26,1536,3.532801734,-0.763624425,-0.726931794,0.270268625,2.341935425
