TRACK_ID,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,,,,
Track ID,X,Y,Z,T,Frame,Max intensity ch2,Sum intensity ch2,,,,
Track ID,X,Y,Z,T,Frame,Max ch2,Sum ch2,,,,
,(micron),(micron),(micron),(sec),,(counts),(counts),,,,
0,4.71367051,3.144388458,1.665169213,0,0,175,9811,,1.547677927,,4.144769542
0,4.933057872,3.094457514,1.947911649,3.82174015,1,120,6959,,1.706678517,,
0,4.676217278,2.941017347,1.951961664,7.643480301,2,123,7273,,1.913783169,,
0,4.576130455,2.978642686,2.215468874,11.46522045,3,69,4108,,1.649779299,,
5,4.576219432,2.84510306,1.835492353,15.2869606,4,123,7373,,1.841050978,,
5,4.65628972,2.72697768,1.666166181,11.46522045,3,90,5161,,2.246894772,,
,,,,,,,,,,,
,,,,,,,,,,,
,3.98427385,3.775835966,2.87535991,7.643480301,2,,,,,,
,3.969640298,3.768434305,3.184978109,11.46522045,3,,,,,,
,4.190903331,4.06539575,3.422611043,15.2869606,4,,,,,,
,4.189993271,3.943238856,3.49696177,19.10870075,5,,,,,,
,4.406497138,3.857235331,3.363972419,22.9304409,6,,,,,,
